Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Intergenerational Connections – Parkland at the Lakes,Shannex – Parkland Retirement Living,"Life enrichment staff at Parkland at the Lakes coordinate regular visits and co-programmed sessions with nearby licensed child care centres and preschools. Residents volunteer as program helpers—reading with children, assisting with crafts and music, and sharing skills—while child care partners use Parkland’s common rooms for group time, creating shared programming that supports early learning and increases social engagement for older adults.",Childcare Access and Affordability,Intergenerational Care Programs: Link seniors' centres and retirement homes with childcare providers for shared programming where elders support children and receive social engagement and modest compensation.,Talent and Mobility System Misalignment,"82 Baker Drive, Dartmouth, NS B2W 0M1",,info@shannex.com,44.665122,-63.5311876
Kjipuktuk (Halifax) Community Land Trust,Kjipuktuk Community Land Trust Society,"A resident-led initiative creating a community land trust in Halifax to acquire land and steward permanently affordable homes. The trust’s governance model centers local residents and partner organizations to set ground-lease terms and resale/lease restrictions, focusing on stable housing options for students, newcomers, and young families in high-cost neighbourhoods.",Housing Affordability and Supply Constraints,"Community Land Trusts (CLTs): Create locally governed CLTs that buy and hold land for permanently affordable housing; community members help steward properties, set resale rules, and prioritize students, newcomers, and young families.",Talent and Mobility System Misalignment,"2165 Gottingen Street, Halifax, NS B3K 3B5",,,44.6527462,-63.5842285
Kentville Micro Shelter Village,Open Arms Resource Centre,"Open Arms developed a small village of micro‑shelters (tiny homes) on community land in Kentville to provide heated, lockable cabins and shared facilities as a bridge to permanent housing. The pilot demonstrates how quickly deployable, low‑cost units can expand local supply and improve stability for people in housing crisis. Open Arms shares build details, operating policies, and partnership approaches with churches, municipalities, and community groups to help replicate the model elsewhere i...",Housing Affordability and Supply Constraints,Tiny Home and Modular Pilot Projects: Support small‑scale pilots for tiny homes or modular units on community land or church lots to quickly add affordable units; document best practices and help replicate successful models.,Talent and Mobility System Misalignment,"32 Cornwallis Street, Kentville, NS B4N 2E1",,info@openarms.ca,45.0777073,-64.4943816
Open Arms – Housing Support Program,Open Arms Resource Centre Society,"Open Arms provides housing navigation, tenant education, and practical move‑in assistance (e.g., liaising with landlords, securing essentials) for individuals and families in the Annapolis Valley. Housing Support Workers offer coaching on renters’ rights and responsibilities and mediate landlord‑tenant issues to prevent evictions and sustain tenancies.",Housing Affordability and Supply Constraints,"Tenant Support, Mediation and Education Hubs: Create local hubs offering renters’ rights education, dispute mediation, and move‑in/move‑out assistance to reduce evictions and maintain housing stability for vulnerable residents.",Talent and Mobility System Misalignment,"32 Cornwallis Street, Kentville, NS B4N 2E1",,info@openarms.ca,45.0777073,-64.4943816
Open Acadia Micro-credentials and Professional Certificates,Acadia University — Open Acadia,"Open Acadia provides short, stackable micro-credentials and professional certificates aligned with regional needs in sectors such as agri-food, environmental management, community development, and business leadership. Programs are delivered in flexible, accelerated formats and developed with community and industry partners to help learners in rural and urban Nova Scotia move into specialized and supervisory roles.",Insufficient High-Quality Career Paths,"Skills Accelerator and Credential Microprograms: Coordinate community colleges, employers, and industry groups to offer short, stackable credentials and accelerated training focused on leadership, management, and specialized technical skills tailored to local industry needs.",Talent and Mobility System Misalignment,"15 University Avenue, Wolfville, NS B4P 2R6",,openacadia@acadiau.ca,45.0891388,-64.3669857
North End United Housing Co-operative,North End United Housing Co-operative Limited,"North End United Housing Co-op provides limited-equity co‑operative housing where the co‑op (a community-owned, non-profit entity) retains ownership of the buildings and members purchase a low-cost share. Because the co-op holds the underlying equity and caps member shares, monthly housing charges stay below market and long-term affordability is preserved for future members, aligning with shared-equity principles.",Housing Affordability and Supply Constraints,Shared-Equity and Rent-to-Own Programs: Pilot shared-equity or rent-to-own models where a community organization retains an equity share to lower upfront costs and keep homes affordable over time.,Talent and Mobility System Misalignment,"2220 Gottingen Street, Halifax, NS B3K 3B8",,,44.6534679,-63.5856987
Cranberry Court Housing Co-operative,Cranberry Court Housing Co-operative,"Cranberry Court operates as a limited‑equity housing co‑operative in which the community co‑op owns the property and members buy a modest share instead of a full market-priced unit. By retaining equity collectively and controlling resale/share values, the co‑op lowers entry costs and maintains affordability over time, a practical implementation of a shared‑equity housing model.",Housing Affordability and Supply Constraints,Shared-Equity and Rent-to-Own Programs: Pilot shared-equity or rent-to-own models where a community organization retains an equity share to lower upfront costs and keep homes affordable over time.,Talent and Mobility System Misalignment,"10 Cranberry Court, Dartmouth, NS B2W 4N4",,,44.6799707,-63.5720232
St. Margaret’s Bay Co-operative Nursery School,St. Margaret’s Bay Co-operative Nursery School Society,"A parent-led co-operative preschool where families participate in governance and classroom ‘duty days,’ sharing caregiving responsibilities and pooling fees to keep costs manageable. The co-op structure enables flexible, community-based childcare pods that align with provincial standards and can pursue licensing as capacity and staffing allow.",Childcare Access and Affordability,"Parent-led Childcare Co-operatives: Families organize and operate cooperative childcare pods that share caregiving responsibilities, rotating duties and pooling fees to create affordable, licensed or unlicensed options that meet local needs while pursuing provincial licensing where feasible.",Talent and Mobility System Misalignment,"5374 St. Margarets Bay Road, Upper Tantallon, NS B3Z 2H9",,,44.6928749,-63.8863932
Leeds Street Childcare Centre,Leeds Street Childcare Centre Society,"A non-profit childcare centre located on the NSCC IT Campus, it partners with the college (a major local employer) to provide on-site licensed childcare for students, staff, and nearby workers. By situating care at a transportation-accessible campus that serves many small and medium-sized employers in Halifax’s North End, it functions as a near-site childcare hub with schedules aligned to class and work hours and priority access for NSCC-affiliated families, effectively sharing staffing and s...",Childcare Access and Affordability,"Employer-Community Childcare Partnerships: Local employers partner with municipalities and non-profits to create onsite or near-site childcare hubs, offering subsidies, shared staffing, flexible schedules and priority placement for workers from small and medium businesses.",Talent and Mobility System Misalignment,"5685 Leeds Street, Halifax, NS B3K 2T3",,,44.6695773,-63.6147024
Akerley Child Development Centre,Akerley Child Development Centre Society,"Located at NSCC’s Akerley Campus in Dartmouth, this centre partners with the college to provide near-site licensed childcare supporting students, faculty, and staff, while also serving families working in nearby Burnside and Woodlawn business areas. The arrangement leverages shared facilities and training partnerships with NSCC’s early childhood education programs to stabilize staffing and align hours with class and shift schedules, creating practical access for employees of surrounding small...",Childcare Access and Affordability,"Employer-Community Childcare Partnerships: Local employers partner with municipalities and non-profits to create onsite or near-site childcare hubs, offering subsidies, shared staffing, flexible schedules and priority placement for workers from small and medium businesses.",Talent and Mobility System Misalignment,"21 Woodlawn Road, Dartmouth, NS B2W 2S1",,,44.6840183,-63.5262522
