Name,Description,Solution,Obstacle,Organization,Address,Website,Email,Phone,Latitude,Longitude
2nd Avenue Commons 24/7 Day Center,"This Downtown facility operates around the clock with showers, lockers, laundry, and lounge areas, providing shift-friendly access to essential amenities irrespective of work schedules. Centrally located near major transit, it serves as a shared community space where workers and neighbors can safely rest, connect, and access supportive services, strengthening social ties across a region where people live far from their workplaces.",Shared Public Spaces & Shift-Friendly Amenities,Geographic Dispersion of Union Members,2nd Avenue Commons,"700 Second Avenue, Pittsburgh, PA 15219",https://2ndavenuecommons.org,,
7800 Susquehanna,"Bridgeway Capital’s 7800 Susquehanna is a multi-tenant manufacturing and maker campus that co-locates small manufacturers, creative enterprises, and workforce training—including the Trade Institute of Pittsburgh—under one roof. The building’s affordable spaces and shared amenities create steady public activity and training opportunities while producing rental income, illustrating how co-locating tool- and maker-oriented enterprises can activate large facilities in ways directly transferable t...",Co-locating Social Enterprises,Union Hall Closures and Consolidation,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.bridgewaycapital.org/places/7800-susquehanna/,info@bridgewaycapital.org,
AARP Community Challenge (Livable Communities) — ADU Education & Micro‑Grants,"AARP Pennsylvania runs ADU education within its Livable Communities initiative and offers Community Challenge micro‑grants that local groups in Western Pennsylvania can use to host homeowner workshops, create ADU guide materials, and pilot permitting or design assistance. These quick-action resources help residents and community partners lower barriers to building accessory apartments or tiny homes that expand affordable, close-to-work housing.",Accessory Dwelling Unit (ADU) & Tiny Home Support,Geographic Dispersion of Union Members,AARP Pennsylvania,"20 Stanwix Street, Suite 201, Pittsburgh, PA 15222",https://states.aarp.org/pennsylvania,pa@aarp.org,
Accompaniment Program,"Casa San José’s Accompaniment Program mobilizes trained volunteers to serve as neighbor-mentors who meet newcomers, attend appointments with them, and introduce families to local schools, community centers, and civic resources. The organization provides orientation to services, hosts community gatherings and informational sessions, and offers language assistance and referrals, effectively creating a welcoming network that mirrors the proposed ‘neighborship’ and newcomer social model.",Welcome and Newcomer Integration Network,Disappearance of Ethnic Clubs and Fraternal Lodges,Casa San José,"2116 Broadway Avenue, Pittsburgh, PA 15216",https://casasanjose.org,info@casasanjose.org,
Accompaniment Volunteer Program,"Casa San Jose pairs long-time local volunteers with recently arrived immigrant neighbors to provide one-on-one accompaniment, neighborhood orientation, and navigation of services. Volunteers make introductions to community members, invite newcomers to local events, and act as trusted “buddies,” fostering early social ties and a sense of belonging.",Neighborhood Welcome & Buddy Program,Geographic Dispersion of Union Members,Casa San Jose,"2110 Broadway Avenue, Pittsburgh, PA 15216",https://www.casasanjose.org,info@casasanjose.org,
Action Teams,"Lawrenceville United organizes issue-based Action Teams (e.g., housing, public safety, mobility, and beautification) that bring neighbors together to solve specific, local problems. Through canvassing, regular team meetings, and short-term volunteer projects with measurable outcomes, the teams produce quick wins that re-engage residents and strengthen block-level associations. This project-based structure rebuilds civic life and channels community voice into decision-making.",Revitalize Civic Associations through Issue-Based Working Groups,Disappearance of Ethnic Clubs and Fraternal Lodges,Lawrenceville United,"5150 Butler Street, Pittsburgh, PA 15201",https://www.lunited.org,info@lunited.org,
Adagio Health Mobile Health Unit,"Adagio Health deploys mobile clinics that provide preventive care, cancer screenings, immunizations, and women’s health services throughout Western Pennsylvania. By partnering with employers and setting up in plant or hospital parking lots during early-morning and evening windows, the unit enables shift workers to access care around their schedules, directly implementing mobile services at shift change.",Mobile Community Van/Trailer,Loss of Multi-Purpose Community Spaces,Adagio Health,"3310 William Penn Highway, Suite 302, Pittsburgh, PA 15235",https://www.adagiohealth.org,info@adagiohealth.org,
Adagio Health Mobile Health Unit,"Adagio Health deploys mobile clinics that provide preventive care, cancer screenings, immunizations, and women’s health services throughout Western Pennsylvania. By partnering with employers and setting up in plant or hospital parking lots during early-morning and evening windows, the unit enables shift workers to access care around their schedules, directly implementing mobile services at shift change.",Pop-up Markets and Mobile Services at Shift Change,Geographic Dispersion of Union Members,Adagio Health,"3310 William Penn Highway, Suite 302, Pittsburgh, PA 15235",https://www.adagiohealth.org,info@adagiohealth.org,
Adopt-A-Trail,"Friends of the Riverfront’s Adopt-A-Trail program trains and equips neighborhood, corporate, and civic volunteer teams to maintain sections of the Three Rivers Heritage Trail. Volunteers perform routine upkeep—litter abatement, cleaning, invasive removal, and basic carpentry for signage, kiosks, and fencing—reducing maintenance costs that would otherwise fall to contractors or public agencies. Regular stewardship days build community pride and relationships among participants and trail users.",Volunteer Maintenance Corps,Union Hall Closures and Consolidation,Friends of the Riverfront,"1130 S Braddock Avenue, Pittsburgh, PA 15218",https://friendsoftheriverfront.org,info@friendsoftheriverfront.org,
AgeWell Rides,"A volunteer transportation program that matches older adults with vetted community drivers for trips to medical appointments, groceries, and social activities. Using simple request and scheduling systems, it increases everyday neighbor-to-neighbor interaction and ensures residents can get rides from local volunteers. This directly implements the solution’s ride-coordination component while rebuilding social trust and support networks.","Mutual Aid Networks, Tool Libraries, and Time Banks",Disappearance of Ethnic Clubs and Fraternal Lodges,AgeWell Pittsburgh,"5738 Forbes Avenue, Pittsburgh, PA 15217",https://agewellpgh.org,agewell@jccpgh.org,
