Name,Description,Solution,Obstacle,Organization,Address,Website,Email,Phone,Latitude,Longitude
1Hood Power,"1Hood Power is a Pittsburgh-based, member-supported civic action organization that raises small donations to power local endorsements, voter education, and issue advocacy shaped by community input. Through programs like public candidate forums, member engagement, and locally focused endorsement processes, it directs resources to municipal and county campaigns aligned with neighborhood needs. Activities and voter guides are shared openly, keeping decision-making transparent and accountable to ...",Local Political Action Fund,Staff-Heavy Metropolitan Operations Replace Local Ground-Level Activism,1Hood Power,"460 Melwood Avenue, Suite 300, Pittsburgh, PA 15213",https://1hoodpower.org,info@1hoodpower.org,
1Hood Power People’s Endorsements,"1Hood Power organizes community-centered endorsement panels in Allegheny County that include grassroots members, local activists, and allied civic leaders to evaluate candidates using published questionnaires and transparent criteria. They release voter guides that summarize the panel’s rationale, creating clarity and accountability around endorsements that affect working-class communities. By elevating local voices and public reasoning, the process builds buy-in and helps bridge gaps between...",Local Endorsement Review Panels,Communication Breakdowns Between International Leadership and Rank-and-File Members,1Hood Power (a project of 1Hood Media),"460 Melwood Avenue, Pittsburgh, PA 15213",https://www.1hoodpower.org,info@1hood.org,
32BJ American Dream Fund – Pittsburgh District,"The 32BJ American Dream Fund is SEIU 32BJ’s member-funded political action program that aggregates voluntary small contributions from Western Pennsylvania janitors, security officers, and airport workers to back local candidates and issue campaigns. Member-led endorsement processes and local political committees prioritize municipal, county, and school board races that affect working families, rather than national party agendas. The fund publishes endorsements and files required campaign fina...",Local Political Action Fund,Staff-Heavy Metropolitan Operations Replace Local Ground-Level Activism,Service Employees International Union (SEIU) Local 32BJ,"707 Grant Street, Suite 920, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
32BJ Contract Action Team (CAT) Trainings and Contract Demand Meetings,"32BJ’s Pittsburgh District conducts shop-by-shop and shift-based contract demand meetings and trains Contract Action Teams (CATs) to gather, debate, and rank member priorities before negotiations with janitorial, security, and airport employers. CATs compile a transparent, member-endorsed bargaining agenda that union leaders present back to the membership and use throughout talks, improving buy-in and making the bargaining outcomes easier to explain.",Participatory Bargaining Workshops,Communication Breakdowns Between International Leadership and Rank-and-File Members,SEIU 32BJ – Pittsburgh District,"707 Grant Street, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
32BJ Member-Led Bargaining Committees and Demand Meetings,"In preparation for janitorial and security contracts in Pittsburgh, 32BJ organizes building-by-building and shift-based demand meetings and surveys where members identify and rank issues like wages, benefits, staffing, and safety. Elected, member-led bargaining committees then publicly present the platform at updates and actions, ensuring negotiations reflect rank-and-file priorities and are easier to communicate across worksites.",Participatory Bargaining Workshops,Communication Breakdowns Between International Leadership and Rank-and-File Members,SEIU Local 32BJ,"707 Grant Street, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
32BJ SEIU Western Pennsylvania Member Endorsement Committee,"32BJ SEIU organizes member-led endorsement committees in the Pittsburgh area that bring building service workers together to interview candidates and evaluate them against published criteria focused on wages, benefits, and union rights. The union posts endorsements and explanatory statements on its website and communicates them to members before broader rollouts at the state or national level. This local review panel approach increases buy-in from rank-and-file members and aligns endorsements...",Local Endorsement Review Panels,Communication Breakdowns Between International Leadership and Rank-and-File Members,32BJ Service Employees International Union (SEIU),"707 Grant Street, Suite 1210, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
32BJ SEIU Western Pennsylvania Shop Steward Program,"32BJ SEIU trains volunteer shop stewards among janitors, security officers, and building service workers in the Pittsburgh area to explain contract rights, handle early-stage grievances, and represent members in initial dispute-resolution meetings with management. This steward network is a member-led, workplace-based contract support system that strengthens local, face-to-face union engagement.",Volunteer-Led Contract Support Teams,Staff-Heavy Metropolitan Operations Replace Local Ground-Level Activism,32BJ SEIU Western Pennsylvania District,"707 Grant Street, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
ACBA Pro Bono Center Legal Advice and Debt Clinics,"The Allegheny County Bar Foundation’s Pro Bono Center coordinates volunteer attorneys to run recurring legal advice clinics in community settings, including consumer debt advice, bankruptcy, and landlord–tenant assistance. By bringing free, volunteer-staffed legal help into neighborhood venues, the program provides practical problem-solving, referrals, and benefits navigation that build ongoing trust and stability for residents.",Community Legal and Financial Clinics,Lack of Mechanisms for Member Participation Beyond Dues and Contract Cycles,Allegheny County Bar Foundation Pro Bono Center,"436 Seventh Avenue, Suite 400, Pittsburgh, PA 15219",https://www.acba.org,probono@acba.org,
AFL-CIO Community Services Labor Liaison Program,"United Way of Southwestern Pennsylvania’s Labor Liaison Program formally links area labor unions with churches, schools, neighborhood associations, and human service providers to meet community needs. Labor liaisons coordinate union member volunteerism, resource drives, and rapid response for issues like food access, emergency assistance, and safety, often in partnership with congregations and civic groups. This infrastructure reconnects unions to locally rooted, face-to-face service and advo...",Union-Community Coalitions,Staff-Heavy Metropolitan Operations Replace Local Ground-Level Activism,United Way of Southwestern Pennsylvania,"1250 Penn Avenue, Pittsburgh, PA 15222",https://uwswpa.org,info@uwswpa.org,
AFL-CIO Community Services Program,"The AFL-CIO Community Services Program, housed at the Allegheny-Fayette Central Labor Council in partnership with United Way of Southwestern Pennsylvania, coordinates union member volunteers for food drives, disaster relief distributions, neighborhood clean-ups, and direct assistance to working families. These member-led service activities bring unions into regular, face-to-face contact with community residents and visibly demonstrate solidarity beyond the workplace.",Mutual Aid and Community Service Projects,Staff-Heavy Metropolitan Operations Replace Local Ground-Level Activism,"Allegheny-Fayette Central Labor Council (AFL-CIO), in partnership with United Way of Southwestern Pennsylvania","1459 Banksville Road, Suite 200, Pittsburgh, PA 15216",https://unionhall.aflcio.org/alleghenyfayetteclc,,
