Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Team Member Housing,Cabot Cape Breton,"Cabot Cape Breton operates dedicated, employer-provided staff housing near its resort properties in Inverness, including purpose-built accommodations and blocks of local rentals secured for seasonal staff. By lowering housing barriers for new hires—many of whom are young workers relocating for hospitality roles—and coordinating with community landlords, this employer-assisted housing supports recruitment and retention in a tight local rental market.",Housing Affordability and Availability,"Employer-Community Housing Partnerships: Coordinate between local employers, chambers of commerce and community groups to develop employer-assisted housing (rent guarantees, down-payment support, dedicated rental blocks) targeted at recruiting and retaining young workers.",Negative Narrative and Perception Trap,"18 Whitman Way, Inverness, NS B0E 1N0",,careers@cabotcapebreton.com,46.2307181,-61.3056432
Halifax Modular Supportive Housing – Chain Lake Site,Out of the Cold Community Association (operating for Halifax Regional Municipality),"Halifax Regional Municipality partnered with Out of the Cold Community Association to deploy modular, tiny-home–style units as transitional housing at the Chain Lake Drive site. The village of prefabricated units provides private sleeping spaces with shared supports, creating a rapid, pop-up community that gives people (including younger residents starting work or returning to the city) stable housing while longer-term supply is built.",Housing Affordability and Availability,Pop-up and Tiny Home Transitional Housing: Organize temporary tiny-home villages or repurpose modular units on community-owned sites to provide transitional housing for young people moving back or starting careers while permanent supply is developed.,Negative Narrative and Perception Trap,"61 Chain Lake Drive, Halifax, NS B3S 1A9",,info@outofthecold-hfx.ca,44.6460288,-63.6723903
Workforce Development Employer Roundtables,Halifax Partnership,"Halifax Partnership regularly hosts employer-education roundtables that gather local companies, universities, NSCC, and training providers to surface real-time skill gaps and coordinate responses. These sessions inform curriculum tweaks, help partners stand up targeted micro-credentials, and secure employer commitments for internships, co-ops, and entry-level roles; the Partnership publishes labour market insights and meeting takeaways that education partners use to adjust programming.",Skills Mismatch and Training Pathways,"Community Employer-Education Roundtables: Regular local roundtables where employers, high schools, community colleges, universities, and training providers map current and emerging skill needs, co-design curricula, and commit to concrete co-op/apprenticeship slots. The community organizes and documents outcomes so training aligns to local demand.",Negative Narrative and Perception Trap,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Techsploration Program,Techsploration,"Techsploration connects female and gender-diverse students in grades 9–12 with women role models working in skilled trades, engineering, and technology across Nova Scotia. Through workplace tours, dedicated job shadowing days, and hands-on team projects guided by volunteer mentors, participants gain career awareness, develop communication and teamwork skills, and build direct connections with potential employers—closely aligning youth learning with real industry needs.",Skills Mismatch and Training Pathways,"Youth Career Mentorship Network: A volunteer-based network linking local professionals and tradespeople with young people for short-term job shadowing, project mentorship, and mock workplace projects — improving career awareness and soft skills while building employer connections.",Negative Narrative and Perception Trap,"100 Ilsley Avenue, Unit 110, Dartmouth, NS B3B 1L3",,info@techsploration.ca,44.6994707,-63.5871837
SuperNOVA Mobile Camps and Workshops,SuperNOVA at Dalhousie University,"SuperNOVA at Dalhousie University delivers mobile STEM programs—such as coding, robotics, and digital design—by bringing equipment, instructors, and pop-up labs to rural schools and community venues across Nova Scotia. These short, hands-on workshops build foundational tech skills aligned with emerging workforce needs and help bridge school-to-work pathways by exposing youth to practical, in-demand competencies.",Skills Mismatch and Training Pathways,"Mobile Training and Maker Labs: A traveling training unit or pop-up maker lab that brings hands-on, short-term training (e.g., welding, coding bootcamps, digital media) to rural communities, lowering barriers to accessing in-demand skills nearby.",Negative Narrative and Perception Trap,"1360 Barrington Street, Halifax, NS B3J 1Z1",,supernova@dal.ca,44.6426993,-63.5720957
Halifax Partnership Labour Market Dashboard and Halifax Index,Halifax Partnership,"Halifax Partnership publishes real-time labour market dashboards and the annual Halifax Index, tracking job postings by occupation and skills, labour force trends, and longer-term demographic and industry forecasts for the Halifax region. These insights are used by employers, post-secondary institutions, and training providers to target priority skills and adjust programs, guiding students and job seekers toward areas of current and projected demand.",Skills Mismatch and Training Pathways,"Community Skills Forecast and Vacancy Board: A publicly accessible local dashboard maintained by community partners showing short-term and long-term employer needs, projected vacancies, and priority skills — used to guide training providers and student choices.",Negative Narrative and Perception Trap,"1809 Barrington Street, Suite 1201, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Ski Cape Smokey Winter Experience Packages,Cape Smokey Holding Ltd.,"Ski Cape Smokey coordinates lift tickets, gondola rides, equipment rentals, lessons, and guided snowshoe experiences with partner restaurants and accommodations on the Cabot Trail to create bundled winter getaways. These packages promote multi-operator itineraries during the island’s off-season, increasing visitor length of stay and spend across local businesses. The model extends tourism revenues and winter staffing beyond the traditional summer peak in rural Cape Breton.",Limited Economic Diversification Outside Halifax,"Off-season tourism cooperatives and experience packages: Coordinate tourism operators to offer bundled off-season experiences (food trails, workshops, adventure weekends) to smooth seasonal employment and extend revenues.",Negative Narrative and Perception Trap,"38696 Cabot Trail, Ingonish Beach, NS B0C 1L0",,,46.6449008,-60.4034171
"Authentic Seacoast Off-Season Getaways (Distillery, Brewery & Inn Packages)",Authentic Seacoast Company,"Authentic Seacoast bundles accommodation at DesBarres Manor Inn with tours and tastings at its craft distillery and brewery, culinary experiences, and guided outdoor activities in and around Guysborough. By coordinating multiple experiences and partners, it offers curated shoulder- and winter-season packages that bring visitors to a rural community outside Halifax. This integrated approach smooths seasonality and sustains local employment across hospitality and craft producers.",Limited Economic Diversification Outside Halifax,"Off-season tourism cooperatives and experience packages: Coordinate tourism operators to offer bundled off-season experiences (food trails, workshops, adventure weekends) to smooth seasonal employment and extend revenues.",Negative Narrative and Perception Trap,"75 Ferry Lane, Guysborough, NS B0H 1N0",,info@authenticseacoast.com,45.3923746,-61.5007534
CCA Sponsorship Program,Shannex Incorporated,"Shannex’s CCA Sponsorship Program hires candidates into paid trainee roles and covers tuition and program fees for accredited Continuing Care Assistant education at local colleges. The employer-paid training, guaranteed employment upon graduation, and flexible scheduling during academic terms reduce financial pressure and student debt for early‑career workers, directly aligning with tuition reimbursement and flexible hiring to keep talent in Nova Scotia.",Affordable Post-Secondary and Student Debt,"Local Employer Tuition Reimbursement and Flexible Hiring: Encourage area employers to offer tuition reimbursement, continuing education stipends, and flexible schedules for early-career workers, reducing pressure to leave for higher pay elsewhere.",Negative Narrative and Perception Trap,"1344 Summer Street, Suite 1201, Halifax, NS B3H 0A8",,,44.6397624,-63.5829145
IWK Family Room (On-site Child-Minding),Ronald McDonald House Charities Atlantic in partnership with IWK Health,"Staffed by trained volunteers, the IWK Family Room provides short-notice, supervised child-minding and respite support for families at the hospital, including evenings and weekends. This vetted volunteer network offers safe, temporary babysitting for siblings and children so parents can attend urgent appointments or care for hospitalized family members.",Access to Childcare and Family Supports,"Volunteer and Emergency Babysitting Network: A vetted community roster of trained volunteers and peer babysitters who can provide short-notice, evenings or weekend coverage for parents in need.",Negative Narrative and Perception Trap,"IWK Health Centre, 5850 University Avenue, Halifax, NS B3K 6R8",,info@rmhcatlantic.ca,44.6378638,-63.5837315
