Name,Description,Solution,Obstacle,Organization,Address,Website,Email,Phone,Latitude,Longitude
24/7 Emergency Response Line and Worker Rights Support,"Casa San Jose operates a confidential 24/7 hotline connecting workers—especially immigrants and low‑wage workers—to rapid advice, safety planning, and referrals to pro bono employment attorneys for wage theft, retaliation, or exploitation. Trained staff and volunteers document incidents, help workers understand their rights, and coordinate legal clinics and representation without exposing workers to employer retaliation.",Confidential legal clinic and hotline,Alignment with Company Rather than Union,Casa San Jose,"2116 Broadway Avenue, Pittsburgh, PA 15216",https://casasanjose.org,info@casasanjose.org,
3 Cups of Coffee,"PA Women Work’s 3 Cups of Coffee is a structured mentorship program that pairs job seekers with volunteer mentors—many of whom are program alumni or retired professionals—for three one-on-one meetings focused on networking, job leads, and career navigation. The mentor network supplements formal training by providing practical advice, introductions to employers, and peer accountability to help participants move into stable, family-sustaining roles.",Peer Mentoring and Alumni Networks,Decline in Occupational Skills and Training Pathways,PA Women Work,"100 South Commons, Suite 102, Pittsburgh, PA 15212",https://www.pawomenwork.org,info@pawomenwork.org,
3 Cups of Coffee,"3 Cups of Coffee is a short‑term career mentoring program that matches job seekers with volunteer mentors—including mid‑career and retired professionals—who share industry insights, connections, and concrete job leads. Participants meet with mentors for guided conversations that supplement training with real‑world advice on resumes, interviews, and navigating local labor markets. Alumni of the program frequently return as mentors, creating a peer‑support loop that helps trainees move into fam...",Peer Mentoring and Alumni Networks,Decline in Occupational Skills and Training Pathways,Pennsylvania Women Work,"100 South Commons, Suite 106, Pittsburgh, PA 15212",https://www.pawomenwork.org/3-cups-of-coffee.html,info@pawomenwork.org,
32BJ Political & Legislative Department (Western PA),"32BJ’s Political & Legislative Department organizes building service, airport, and school workers in the Pittsburgh region to win pro-worker local and state policies. Through door-to-door outreach, rallies, and testimony, they push for protections such as worker-retention and just-cause standards, paid sick days, and wage floors—measures that lower the risks of organizing and striking by safeguarding jobs and income.",Grassroots Advocacy for Stronger Worker Protections,Fear of Job Loss Overrides Union Loyalty,"Service Employees International Union, Local 32BJ","707 Grant Street, Pittsburgh, PA 15219",https://www.seiu32bj.org,info@seiu32bj.org,
412 Food Rescue – Food Rescue Heroes Network,"412 Food Rescue mobilizes thousands of volunteer ""Food Rescue Heroes"" to redirect surplus food from retailers to households and community sites across Western Pennsylvania. This neighbor-to-neighbor delivery model functions as mutual aid, with volunteers directly supporting families experiencing economic shocks like layoffs by providing free groceries and checking in on needs. The ongoing, hyperlocal engagement builds trust and practical solidarity among residents while reducing food insecurity.",Mutual Aid and Peer Support Networks,Survival Instincts Replace Collective Solidarity,412 Food Rescue,"6140 Station Street, Pittsburgh, PA 15206",https://412foodrescue.org,info@412foodrescue.org,
7800 Susquehanna,"Bridgeway Capital, a nonprofit CDFI, acquired and holds this former industrial building and leases affordable, long‑term space to small manufacturers, makers, and mission‑driven enterprises. By stabilizing ownership and offering tenant support and predictable leases, 7800 Susquehanna reduces the risk of abrupt closures or displacement due to speculative real estate pressures and creates a platform that worker cooperatives and community‑serving employers can securely grow from.",Community-Owned Industrial Land Trust,Fear of Job Loss Overrides Union Loyalty,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.7800susquehanna.org,info@bridgewaycapital.org,
7800 Susquehanna,"Bridgeway Capital purchased and holds a former industrial building in Homewood and leases affordable, production-ready space to small manufacturers, makers, and social enterprises under a long-term, mission-first ownership model. This multi-tenant, nonprofit stewardship keeps the asset in community-oriented hands and stabilizes employment by ensuring that the facility endures beyond any single tenant’s fortunes. It reflects a community-owned industrial land trust approach by decoupling proper...",Community-Owned Industrial Land Trust,Fear of Job Loss Overrides Union Loyalty,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.bridgewaycapital.org,info@bridgewaycapital.org,
ACTION United,"ACTION United is a community organization that engages low-wage workers in Western Pennsylvania in grassroots campaigns to secure stronger labor protections from city, county, and state governments. The group has mobilized workers to win and defend policies such as paid sick leave, wage-theft enforcement, and fair scheduling standards, and it supports broader efforts to strengthen layoff notice and protect workers during strikes. By equipping workers to advocate directly with policymakers, it...",Grassroots Advocacy for Stronger Worker Protections,Fear of Job Loss Overrides Union Loyalty,ACTION United,"5907 Penn Avenue, Suite 300, Pittsburgh, PA 15206",https://actionunited.org,info@actionunited.org,
AFL-CIO Community Services Labor Liaison Program,"This program partners labor councils with United Way to provide rapid, practical aid to workers in crisis, including emergency hardship grants, food and gas cards, and connections to childcare and transportation so workers can attend meetings, hearings, or picket lines. Labor liaisons coordinate with unions and community allies to elevate retaliation cases publicly and refer workers to legal aid, creating a peer-backed safety net that reduces the personal risk of speaking out.",Peer support and rapid-response network,Alignment with Company Rather than Union,"United Way of Southwestern Pennsylvania in partnership with Allegheny-Fayette Central Labor Council, AFL-CIO","1250 Penn Avenue, Pittsburgh, PA 15222",https://uwswpa.org,info@uwswpa.org,
ALCOSAN Clean Water Plan Project Labor Agreement,"ALCOSAN employs a Project Labor Agreement (PLA) for major Clean Water Plan capital projects, requiring contractors to use union hiring halls and apprenticeships, pay prevailing wages, and abide by no-strike/no-lockout provisions. Eligibility for covered contracts depends on agreeing to these standards, channeling substantial infrastructure spending to firms that recognize unions and provide stable, well-paid jobs. This procurement approach directly addresses worker insecurity by tying public ...",Local 'Good Jobs' Procurement & Incentive Pledge,Fear of Job Loss Overrides Union Loyalty,Allegheny County Sanitary Authority (ALCOSAN),"3300 Preble Avenue, Pittsburgh, PA 15233",https://www.alcosan.org,info@alcosan.org,
