Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
"The PIER – Port Innovation, Engagement & Research",Halifax Port Authority,"The PIER is a supply-chain and ocean gateway innovation hub at the Halifax Seaport that provides flexible co-working, meeting rooms, and testbeds for logistics, shipping, port-tech, and marine-related firms. By clustering shippers, carriers, tech vendors, researchers, and workforce partners in one space, it operates as a sector-specific pod that breaks down silos and speeds up solution development and vendor–employer connections. This coordinated environment increases high-quality roles and a...",Thin job density and limited career ladders,"Co-working Spaces with Sector 'Pods': Develop affordable co-working facilities that include sector-specific pods (tech, creative, trades-adjacent services) to concentrate talent, foster collaboration and accelerate company growth into multi-role employers.",Livability and Enabling Infrastructure Gaps,"1209 Marginal Road, Halifax, NS B3H 4P7",,info@portofhalifax.ca,44.6408016,-63.5661452
Shannex Health-Care Student Scholarships (Return-of-Service),Shannex Incorporated,"Shannex provides scholarships and education support for students in programs like Continuing Care Assistant (CCA), Licensed Practical Nurse (LPN), and Registered Nurse (RN). Awards typically include a commitment to work at Shannex communities in Nova Scotia for a set term after graduation, giving learners a funded path into local, in-demand roles and a clear on-ramp to career ladders in seniors’ care.",Thin job density and limited career ladders,"Local Talent Scholarships with Return-to-Service: Fund scholarships (post-secondary or technical) that include agreements or incentives for recipients to work in the community for a defined period, creating predictable pipelines into local career ladders.",Livability and Enabling Infrastructure Gaps,"100 Baker Drive, Suite 200, Dartmouth, NS B2W 4M1",,careers@shannex.com,44.6589265,-63.5302412
KBRS/Meridia Atlantic Canada Salary Guides & Job Board,KBRS (Knightsbridge Robertson Surrette) / Meridia Recruitment Solutions,"KBRS and its recruitment division Meridia publish anonymized Atlantic Canada salary guides and role-specific compensation studies drawing on employer surveys and placement data, with Halifax/Nova Scotia benchmarks to compare against wider Canadian norms. They also maintain a regional job board for professional and executive roles, often including pay bands, to improve transparency and support fair, market-aligned negotiations.",Wage competitiveness versus rising living costs,"Local Salary Benchmarking and Transparency Hub: Run a community-managed, anonymized salary benchmarking service and jobs board so local employers and jobseekers can compare compensation against national/Provincial norms and negotiate fairer pay.",Livability and Enabling Infrastructure Gaps,"Suite 1800, Purdy’s Wharf Tower II, 1969 Upper Water Street, Halifax, NS B3J 3R7",,info@kbrs.ca,44.648618,-63.5859487
Needham Preschool Co-operative,Needham Preschool Co-operative Society,"A parent-run, non-profit cooperative preschool in Halifax’s North End where member families share governance and volunteer classroom support to keep fees affordable. By pooling parent time and resources, the co-op expands access to early learning and childcare hours, helping young parents balance work or study with dependable, community-based care.",Wage competitiveness versus rising living costs,"Community Childcare Cooperatives: Establish parent-run or worker cooperative childcare programs that reduce fees, increase availability, and enable more young parents to participate in the workforce.",Livability and Enabling Infrastructure Gaps,"3115 Veith Street, Halifax, NS B3K 3G9",,,44.664829,-63.5955927
Sackville Heights Cooperative Nursery School,Sackville Heights Cooperative Nursery School Society,"A community-based, parent-governed cooperative nursery school offering play-based early learning with family volunteer participation to reduce operating costs and tuition. The co-op model increases local childcare availability and helps parents remain in or return to the workforce by providing reliable, affordable part-day care within the community centre.",Wage competitiveness versus rising living costs,"Community Childcare Cooperatives: Establish parent-run or worker cooperative childcare programs that reduce fees, increase availability, and enable more young parents to participate in the workforce.",Livability and Enabling Infrastructure Gaps,"45 Connolly Road, Lower Sackville, NS B4E 1S8",,,44.7782856,-63.7014911
Hire Me Halifax,Halifax Partnership,"Hire Me Halifax is a recurring hiring event where students, recent graduates, and newcomers pitch their skills to local employers, followed by rapid networking and on-the-spot interview opportunities. The program includes short prep workshops (pitch building, resume and LinkedIn tune-ups) and connects candidates to immediate roles, internships, and project placements across sectors.",Education-to-employment alignment and credential recognition,"Local Hiring & Skills Fair Series: Host regular themed hiring fairs and micro-workshops (trades week, tech week, arts & culture week) where employers commit to on-the-spot interviews, short trials and co-op offers targeted to youth and newcomers.",Livability and Enabling Infrastructure Gaps,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
StFX Alumni Association,St. Francis Xavier University,"StFX’s Alumni Association offers an online alumni community and directory, along with active Nova Scotia chapters that host regular gatherings and professional networking events. Alumni volunteer as mentors and speakers to support students and recent graduates, share job leads, and keep the Antigonish community ties strong—facilitating pathways for StFX grads who wish to return to or remain in Nova Scotia.",Talent retention and return pathways,"Local Alumni Network & Directory: Create a community-run digital directory and regular meetup series for local alumni (students, former workers, emigrants) to stay connected, share job leads, mentor youth, and coordinate return initiatives.",Livability and Enabling Infrastructure Gaps,"4130 University Avenue, Antigonish, NS B2G 2W5",,alumni@stfx.ca,45.6191732,-61.9966544
Feed Nova Scotia Food Distribution Network,Feed Nova Scotia,"Feed Nova Scotia operates a province-wide consolidation and distribution hub that receives large volumes of donated food at its Dartmouth warehouse. It packs and ships pallets and totes on scheduled routes to more than 140 member food banks and meal programs, which then coordinate local pickup times and volunteer-supported last-mile distribution to residents. The centralized hub and route scheduling reduce transportation costs for community agencies and ensure consistent, consolidated deliver...",Infrastructure and mobility gaps,"Community Freight and Consolidation Hub: Set up a local consolidation point for deliveries and bulk orders to lower shipping costs for businesses and residents. Organize coordinated delivery days, group purchasing to reduce frequency and price of long-distance freight, and a volunteer driver pool for last-mile distribution.",Livability and Enabling Infrastructure Gaps,"67 Wright Avenue, Dartmouth, NS B3B 1H2",,info@feednovascotia.ca,44.7037091,-63.5997121
Psychological First Aid,Canadian Red Cross,"The Canadian Red Cross delivers Psychological First Aid training that equips community members, volunteers, educators, and employers to recognize signs of distress and mental-health crises, provide calm, supportive initial assistance, and connect individuals to professional and community resources. Courses are offered in person and online across Nova Scotia, making practical skills like active listening, safety planning, and referral pathways accessible to residents and workplaces.",Healthcare and mental-health access,"Community mental-health first aid training: Regular, subsidized training sessions teach residents, youth workers, teachers, and employers how to recognize crises, provide initial support, and connect people to professional services.",Livability and Enabling Infrastructure Gaps,"133 Troop Avenue, Dartmouth, NS B3B 2A7",,atlantic@redcross.ca,44.7099632,-63.5846921
Students and New Grads – Clinical Placements and Employment Pathways,Shannex Incorporated,"Shannex partners with Nova Scotia institutions (e.g., NSCC, Dalhousie, CBU) to host practicums and co‑ops for nursing, continuing care, and allied health learners in long‑term care and home care settings across the province. The program provides preceptors, structured mentorship, scholarships, and clear pathways to local employment, encouraging students to remain in Nova Scotia communities after graduation.",Healthcare and mental-health access,"Healthcare student placement and retention partnerships: Community groups collaborate with regional colleges and universities to host clinical placements, offer homestays, and create mentorship and incentive packages that encourage new graduates to stay or return.",Livability and Enabling Infrastructure Gaps,"261 Joseph Zatzman Drive, Dartmouth, NS B3B 1M7",,careers@shannex.com,44.7111456,-63.5997468
