Name,Description,Solution,Obstacle,Organization,Address,Website,Email,Phone,Latitude,Longitude
7800 Susquehanna,"Bridgeway Capital, a nonprofit CDFI, acquired and holds this former industrial building and leases affordable, long‑term space to small manufacturers, makers, and mission‑driven enterprises. By stabilizing ownership and offering tenant support and predictable leases, 7800 Susquehanna reduces the risk of abrupt closures or displacement due to speculative real estate pressures and creates a platform that worker cooperatives and community‑serving employers can securely grow from.",Adaptive Reuse for Local Entrepreneurs and Makers,Deteriorated Housing Stock and Property Abandonment,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.7800susquehanna.org,info@bridgewaycapital.org,
7800 Susquehanna,"Bridgeway Capital redeveloped a vacant former Westinghouse warehouse into an affordable multi-tenant hub for small manufacturers, makers, and creative businesses. The site offers flexible, below-market production and studio spaces with shared loading, utilities, and business support to help local entrepreneurs scale, creating jobs and new foot traffic in Homewood.",Adaptive Reuse for Local Entrepreneurs and Makers,Deteriorated Housing Stock and Property Abandonment,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://7800susquehanna.org,info@bridgewaycapital.org,
ALCOSAN Regional Wastewater Service,"ALCOSAN provides centralized wastewater treatment for 83 municipalities in Allegheny County, pooling capital-intensive facilities, specialized crews, and equipment under intermunicipal agreements. By regionalizing operations, maintenance, regulatory compliance, and procurement, ALCOSAN reduces unit costs for participating communities and helps prevent infrastructure failures that can erode public trust.",Regional Shared Services Initiative,Failing Infrastructure and Municipal Services,Allegheny County Sanitary Authority (ALCOSAN),"3300 Preble Avenue, Pittsburgh, PA 15233",https://www.alcosan.org,customer.service@alcosan.org,
ALCOSAN Regional Wastewater Services,"ALCOSAN provides centralized wastewater treatment for 83 municipalities in Allegheny County, eliminating the need for each community to operate its own plant and major interceptors. By pooling infrastructure, maintenance crews, and procurement for major capital projects, ALCOSAN delivers economies of scale and offers programs like GROW grants to support municipal system upgrades, improving reliability and reducing long-term costs.",Regional Shared Services Initiative,Failing Infrastructure and Municipal Services,Allegheny County Sanitary Authority (ALCOSAN),"3300 Preble Avenue, Pittsburgh, PA 15233",https://www.alcosan.org,info@alcosan.org,
ALCOSAN Regional Wastewater Treatment System,"The Allegheny County Sanitary Authority (ALCOSAN) provides centralized wastewater conveyance and treatment for dozens of municipalities across Allegheny County, operating a single regional plant and interceptor system instead of duplicative local facilities. By pooling capital investment, maintenance crews, and specialized equipment, ALCOSAN lowers per-capita costs, ensures regulatory compliance, and maintains reliable service levels for member communities—directly aligning with regional shar...",Regional Shared Services Initiative,Failing Infrastructure and Municipal Services,Allegheny County Sanitary Authority,"3300 Preble Avenue, Pittsburgh, PA 15233",https://www.alcosan.org,info@alcosan.org,
APEX Accelerator (Government Contracting Assistance),"The Northwest Commission’s APEX Accelerator helps Western Pennsylvania businesses sell to federal, state, local, and institutional buyers through bid-matching, registrations, capability statements, and training. It hosts reverse trade shows and matchmaking events that connect local firms with hospitals, universities, municipalities, and prime contractors—expanding local procurement opportunities. By building buyer-seller relationships and strengthening vendor readiness, the program keeps more...",Local Procurement & Employer Partnership Initiative,Geographic Isolation from Economic Opportunity Centers,Northwest Pennsylvania Regional Planning and Development Commission (Northwest Commission),"395 Seneca Street, Oil City, PA 16301",https://www.northwestpa.org,,
ARTS Oil City – Artist Relocation & Live/Work Program,"ARTS Oil City recruits artists to relocate to Oil City by connecting them with vacant homes and commercial buildings available at low cost and assisting with financing, tax abatements, and rehab guidance. Participating artists establish live/work spaces and invest sweat equity into repairs and ongoing stewardship, keeping long-empty structures occupied and maintained. This approach reduces blight and crime while rebuilding confidence and market activity in a disinvested downtown.",Property Guardianship and Live-Work Programs,Deteriorated Housing Stock and Property Abandonment,"Oil City Main Street Program (Oil Region Alliance of Business, Industry & Tourism)","217 Elm Street, Oil City, PA 16301",https://artsoilcity.com,info@oilregion.org,
Adagio Health Breast & Cervical Cancer Screening and Mobile Mammography,"Adagio Health provides free and low-cost breast and cervical cancer screenings across Western Pennsylvania through the PA Breast and Cervical Cancer Early Detection Program (PA-BCCEDP) and a mobile mammography unit. The program conducts community screening events, risk assessments, and patient navigation to ensure residents receive timely diagnostic follow-up, addressing cancer risk factors in communities affected by legacy industrial pollution.",Community Health Screenings and Environmental Clinics,Contaminated Industrial Brownfields,Adagio Health,"2400 Liberty Avenue, Suite 302, Pittsburgh, PA 15222",https://www.adagiohealth.org,info@adagiohealth.org,
Adopt It! (Municipal Road and Public Space Adoption),"Keep Pennsylvania Beautiful’s Adopt It! program supports municipalities and civic groups in creating local Adopt-a-Road/Adopt-a-Spot efforts for streets, parks, and stormwater areas across Western Pennsylvania. It provides guidance, materials, and signage so neighborhood teams can conduct regular litter removal, light vegetation management, and routine reporting of problems to local public works, building long-term community stewardship.",Neighborhood Adopt-a-Street/Structure Program,Failing Infrastructure and Municipal Services,Keep Pennsylvania Beautiful,"105 West 4th Street, Greensburg, PA 15601",https://www.keeppabeautiful.org/programs/adopt-it-program/,info@keeppabeautiful.org,
Adopt-A-Block (Downtown Erie),"The Erie Downtown Partnership’s Adopt-A-Block program assigns volunteers and businesses to specific downtown blocks for regular litter pickup, graffiti abatement, light vegetation control, and reporting of maintenance needs to the City. This structured, block-by-block stewardship improves street conditions and public space cleanliness while fostering shared responsibility among neighbors and merchants.",Neighborhood Adopt-a-Street/Structure Program,Failing Infrastructure and Municipal Services,Erie Downtown Partnership,"140 East 5th Street, Erie, PA 16507",https://www.eriedowntown.com,info@eriedowntown.com,
