Name,Description,Solution,Obstacle,Organization,Address,Website,Email,Phone,Latitude,Longitude
7800 Susquehanna,"Bridgeway Capital’s 7800 Susquehanna is a multi-tenant manufacturing and maker campus that co-locates small manufacturers, creative enterprises, and workforce training—including the Trade Institute of Pittsburgh—under one roof. The building’s affordable spaces and shared amenities create steady public activity and training opportunities while producing rental income, illustrating how co-locating tool- and maker-oriented enterprises can activate large facilities in ways directly transferable t...",Repurpose Industrial Sites into Maker Spaces and Small Factories,Brain Drain of Young and Educated,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.bridgewaycapital.org/places/7800-susquehanna/,info@bridgewaycapital.org,
7800 Susquehanna Street Manufacturing & Maker Hub,"Bridgeway Capital transformed a former Westinghouse factory into a multi-tenant hub for small manufacturers and makers. The building provides affordable production bays, shared loading and logistics, and business support that enable woodworkers, metal fabricators, and other craft manufacturers to move from prototype to small-batch production. This adaptive reuse keeps industrial jobs in a neighborhood setting and creates pathways for residents to build enterprises close to home.",Repurpose Industrial Sites into Maker Spaces and Small Factories,Brain Drain of Young and Educated,Bridgeway Capital,"7800 Susquehanna Street, Pittsburgh, PA 15208",https://www.7800susquehanna.org,info@bridgewaycapital.org,
ABCD Community of Practice and Fundamentals Workshops,"Neighborhood Allies convenes residents and grassroots leaders for Asset-Based Community Development (ABCD) workshops that include hands-on asset mapping of people’s skills, local organizations, gathering places, and informal networks. Participants create neighborhood asset maps they can use to launch projects, shifting conversations from deficits to strengths and building confidence to act collectively. These recurring sessions help skeptical residents see and mobilize existing resources, fos...",Asset‑Based Community Mapping Workshops,Resistance to Change and New Initiatives,Neighborhood Allies,"5149 Penn Avenue, Pittsburgh, PA 15224",https://neighborhoodallies.org,info@neighborhoodallies.org,
AIU Head Start/Early Head Start,"The Allegheny Intermediate Unit’s Head Start and Early Head Start provide no-cost, high-quality early learning in center-based and home-based options for pregnant parents and children birth to age five. With comprehensive family services—parent education, case management, health and developmental screenings, and connections to benefits—the program reduces childcare costs and builds a support network that enables young parents to stay in school or work locally.",Affordable Childcare Cooperatives and Family Supports,Brain Drain of Young and Educated,Allegheny Intermediate Unit,"475 East Waterfront Drive, Homestead, PA 15120",https://www.aiu3.net/headstart,info@aiu3.net,
AIU3 Training & Consultation – Trauma-Informed Practices for Educators,"The Allegheny Intermediate Unit provides professional development and coaching to school districts on trauma‑informed school frameworks, MTSS/PBIS, and classroom strategies that support students affected by adversity. By training teachers, counselors, and administrators to recognize trauma, de‑escalate effectively, and build supportive classroom climates, AIU3 strengthens the capacity of schools to deliver trauma‑informed care alongside in‑school counseling partners. This educator‑focused wor...",Trauma-Informed Schools and Community Counseling,Intergenerational Transmission of Hopelessness,Allegheny Intermediate Unit (AIU3),"475 East Waterfront Drive, Homestead, PA 15120",https://www.aiu3.net,info@aiu3.net,
AIU3 Trauma-Informed Practices in Schools (Training & Consultation),"The Allegheny Intermediate Unit provides professional development and coaching for educators, administrators, and youth workers across Western Pennsylvania in trauma-informed practices, MTSS/PBIS, and classroom de-escalation strategies. Through workshops, onsite consultation, and implementation support, AIU3 helps districts build school-wide systems that recognize the impacts of trauma and create safe, supportive learning environments. This fulfills the solution by training teachers and youth...",Trauma-Informed Schools and Youth Programs,Substance Abuse and Deaths of Despair Epidemic,Allegheny Intermediate Unit (AIU3),"475 East Waterfront Drive, Homestead, PA 15120",https://www.aiu3.net,info@aiu3.net,
AIU3 Trauma-Sensitive Schools Training and Behavioral Health Supports,"The Allegheny Intermediate Unit (AIU3) delivers professional development and coaching for districts to implement trauma-sensitive school practices, including training for teachers, administrators, and support staff. AIU3 also coordinates behavioral health linkages and supports SAP implementation, helping schools embed trauma-informed approaches and connect students to counseling services. By building educator capacity and strengthening school-community mental health pipelines, AIU3 advances t...",Trauma-Informed Schools and Community Counseling,Intergenerational Transmission of Hopelessness,Allegheny Intermediate Unit,"475 East Waterfront Drive, Homestead, PA 15120",https://www.aiu3.net,,
ARM Institute at Mill 19,"The Advanced Robotics for Manufacturing (ARM) Institute operates a national advanced manufacturing innovation hub inside the repurposed Mill 19 steel mill at Hazelwood Green. The facility includes robotics and automation labs where industry partners and startups pilot production processes, train workers, and scale early-stage products, creating hands-on jobs in a redeveloped industrial site. By clustering manufacturers, research, and workforce programs in a former mill, it anchors local oppor...",Repurpose Industrial Sites into Maker Spaces and Small Factories,Brain Drain of Young and Educated,Advanced Robotics for Manufacturing (ARM) Institute,"4501 Lytle Street, Pittsburgh, PA 15207",https://arminstitute.org,info@arminstitute.org,
Academy PGH,"Academy PGH delivers intensive, cohort‑based software development bootcamps that train residents in full‑stack coding, version control, and collaborative workflows used in remote teams. The program partners with local employers and community groups to reduce barriers to entry, offers career services, and prepares graduates for remote and local tech roles so they can stay in Western Pennsylvania while accessing modern opportunities. By building in‑demand digital skills, it helps retain talent ...",Community Broadband and Digital Skills Training,Brain Drain of Young and Educated,Academy Pittsburgh,"744 East Warrington Avenue, Pittsburgh, PA 15210",https://www.academypgh.com,info@academypgh.com,
Adult Maker Night,"Assemble’s Adult Maker Night invites neighbors to learn and share DIY, repair, and creative skills with local guest makers and community instructors. The informal, hands-on format encourages participants to both teach and learn, creating a reciprocal skill-swap environment. These resident-led circles build confidence, strengthen peer connections, and demonstrate trust in community expertise.",Community Learning Circles and Skills Swaps,Resistance to Change and New Initiatives,Assemble,"4824 Penn Avenue, Pittsburgh, PA 15224",https://www.assemblepgh.org,info@assemblepgh.org,
After School & College and Career Readiness,"The Brashear Association converts community spaces at its South Side center into learning hubs that provide daily after-school tutoring, academic support, and access to technology for local youth. Its College and Career Readiness programming offers mentoring, postsecondary exploration, and hands-on help with applications and next-step planning by staff and volunteers. This approach strengthens neighborhood trust in institutions and builds a clear pathway from school to meaningful work.",Community Learning Hubs and Tutoring Centers,Intergenerational Transmission of Hopelessness,The Brashear Association,"2005 Sarah Street, Pittsburgh, PA 15203",https://www.brashearpgh.org,info@brashearpgh.org,
After-School Program,"The Pittsburgh Project runs an after-school learning center where students receive tutoring, mentoring, and enrichment from educators and trained volunteers in a dedicated community facility. The program offers computer and internet access, academic coaching, and college and career readiness workshops for older youth, including assistance with applications and planning. This creates a reliable neighborhood hub that models success and counters cycles of disengagement.",Community Learning Hubs and Tutoring Centers,Intergenerational Transmission of Hopelessness,The Pittsburgh Project,"2801 North Charles Street, Pittsburgh, PA 15214",https://www.pittsburghproject.org,info@pittsburghproject.org,
After-School and Mentoring Programs,"Best of the Batch Foundation pairs students in the Mon Valley with adult mentors, including retirees, union tradespeople, and local professionals who volunteer through schools, churches, and businesses. Mentors provide one-on-one and small-group guidance in literacy, STEM, and life skills, plus exposure to careers and postsecondary paths within a supportive clubhouse environment. Staff coordinate background checks and maintain match logs and individualized plans to monitor relationships and y...",Community Mentorship Network,Intergenerational Transmission of Hopelessness,Best of the Batch Foundation,"2000 West Street, Munhall, PA 15120",https://www.batchfoundation.org,info@batchfoundation.org,
Afterschool Programs and Career Works (Estelle S. Campbell Clubhouse),"Boys & Girls Clubs of Western Pennsylvania operates the Estelle S. Campbell Clubhouse as a community learning hub offering daily tutoring, homework help, and access to computer labs and the internet. Through its Career Works initiative, the site provides college and career counseling, postsecondary planning, and application support led by youth development professionals and volunteers. The clubhouse model converts community space into a safe, structured environment that reinforces positive ro...",Community Learning Hubs and Tutoring Centers,Intergenerational Transmission of Hopelessness,Boys & Girls Clubs of Western Pennsylvania,"4600 Butler Street, Pittsburgh, PA 15201",https://www.bgcwpa.org,info@bgcwpa.org,
Allegheny Alerts – Overdose Spike Alerts,"Allegheny Alerts is the county’s opt-in notification platform that issues timely public health messages, including overdose spike alerts, to residents, providers, and community groups by neighborhood/ZIP code. Alerts are driven by near real-time overdose data shared by public health and emergency services, enabling rapid warning to the public and mobilization of outreach teams and harm-reduction resources in affected communities.",Overdose Data Sharing and Early-Warning System,Substance Abuse and Deaths of Despair Epidemic,Allegheny County Department of Human Services,"1 Smithfield Street, Pittsburgh, PA 15222",https://alleghenyalerts.alleghenycounty.us,,
Allegheny County Adult Drug Court,"The Adult Drug Court diverts eligible non-violent defendants with substance use disorders away from incarceration and into supervised treatment, recovery support, and regular judicial review. Participants receive coordinated case management, court navigation, and connections to community treatment providers, helping them avoid or reduce criminal records while addressing underlying addiction.","Legal Aid, Reentry, and Diversion Supports",Substance Abuse and Deaths of Despair Epidemic,Fifth Judicial District of Pennsylvania (Allegheny County Court of Common Pleas),"436 Grant Street, Pittsburgh, PA 15219",https://www.alleghenycourts.us/criminal/problem-solving_courts.aspx,,
Allegheny County Analytics,"Allegheny County’s Analytics team publishes data briefs, interactive maps, and dashboards on housing stability, health, human services, economic hardship, and neighborhood conditions. It implements the solution by compiling local evidence of needs—often at granular municipal or neighborhood scales—and making the data, methods, and visualizations publicly available for policymakers, campaigns, journalists, and advocates to understand and respond to community challenges.",Transparent Project Dashboard and Regular Reporting,Resistance to Change and New Initiatives,"Allegheny County Department of Human Services, Office of Analytics, Technology and Planning","1 Smithfield Street, Pittsburgh, PA 15222",https://www.alleghenycountyanalytics.us,DHS-Research@alleghenycounty.us,
Allegheny County Analytics (Public Dashboards and Advisory Meetings),"Allegheny County DHS operates Allegheny County Analytics, a public portal with dashboards and regular reports on human services programs (e.g., housing, child welfare, aging), updated on an ongoing basis to show outcomes, trends, and program performance. DHS and its advisory boards hold standing public meetings—many on a monthly cadence—where data are reviewed, community input is gathered, and follow-up actions are documented, providing a transparent, repeatable process that builds trust thro...",Transparent Project Dashboard and Regular Reporting,Resistance to Change and New Initiatives,Allegheny County Department of Human Services,"1 Smithfield Street, Pittsburgh, PA 15222",https://www.alleghenycountyanalytics.us,DHS-Research@alleghenycounty.us,
Allegheny County Analytics (Public Dashboards and Reporting),"Allegheny County Analytics publishes interactive dashboards and regular reports on human services programs, outcomes, and spending to make performance and budget use visible to residents. DHS pairs these dashboards with recurring public advisory board and stakeholder meetings where data are reviewed, progress is discussed, and community feedback is recorded, creating a clear monthly/quarterly rhythm of reporting and review. This combination of open data and regular public briefings addresses ...",Transparent Project Dashboard and Regular Reporting,Resistance to Change and New Initiatives,Allegheny County Department of Human Services,"One Smithfield Street, Pittsburgh, PA 15222",https://analytics.alleghenycounty.us,DHS-Research@alleghenycounty.us,
Allegheny County Drug Court,"Allegheny County Drug Court is a problem-solving court that diverts eligible defendants with substance use disorders into court-supervised treatment instead of incarceration. Participants receive individualized treatment plans, intensive judicial supervision, and connections to recovery supports, with the opportunity to avoid a criminal record upon successful completion. The program reduces recidivism and stabilizes families by prioritizing treatment and accountability.","Legal Aid, Reentry, and Diversion Supports",Substance Abuse and Deaths of Despair Epidemic,"Fifth Judicial District of Pennsylvania, Court of Common Pleas of Allegheny County","436 Grant Street, Pittsburgh, PA 15219",https://www.alleghenycourts.us,,
Allegheny County Head Start and Early Head Start,"AIU’s Head Start and Early Head Start provide free, high-quality early learning, infant-toddler care, home visiting, and comprehensive family supports (health, nutrition, and social services) for eligible families across Allegheny County. By pairing early education with family case management and resource navigation, the program reduces childcare costs and barriers for young parents, supporting them to work, study, and remain rooted in their communities.",Affordable Childcare Cooperatives and Family Supports,Brain Drain of Young and Educated,Allegheny Intermediate Unit (AIU),"475 East Waterfront Drive, Homestead, PA 15120",https://www.aiu3.net/Page/84,,
Allegheny County MWDBE Program,"Allegheny County’s MWDBE Program certifies local minority-, women-, and disadvantaged-owned firms and sets project-specific participation goals on county contracts to increase local vendor utilization. Through certification, bid opportunity alerts, matchmaking events, and technical assistance, the program channels county procurement toward locally based businesses, strengthening the regional supplier base and keeping contract dollars in Western Pennsylvania.",Buy Local and Contractor Preference Campaigns,Brain Drain of Young and Educated,Allegheny County Department of Equity and Inclusion,"County Office Building, 542 Forbes Avenue, Pittsburgh, PA 15219",https://www.alleghenycounty.us/equity-inclusion/index.aspx,mwbe@alleghenycounty.us,
