Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Truefoam Building Envelope Systems,Truefoam Limited,"Truefoam manufactures prefabricated building envelope components—such as EPS insulation products and insulated concrete form (ICF) systems—used by modular and panelized builders across Nova Scotia to enclose structures quickly and efficiently. By supplying locally made components, offering technical support and training for installers, and maintaining a manufacturing workforce in Dartmouth, Truefoam helps lower construction time and costs while strengthening the local prefab ecosystem.",Housing affordability and supply constraints,"Modular and Prefab Construction Hub: Support a local cooperative or small business hub for modular/prefab building components, lowering construction time and cost while creating local construction jobs and training.",Systemic Exclusion and Weak Sense of Belonging,"11 Mosher Drive, Dartmouth, NS B3B 1N6",,info@truefoam.com,44.7081031,-63.6104473
Cabot Cape Breton Staff Accommodation,Cabot Cape Breton,"Cabot Cape Breton provides dedicated staff housing near its Inverness resorts to ensure seasonal and early‑career employees have reliable, affordable places to live. The employer secures and manages rental blocks and dorm‑style units, effectively guaranteeing leases tied to employment and reducing competition in the local rental market—an employer‑assisted housing model that helps attract and retain young workers.",Housing affordability and supply constraints,"Employer-Assisted Housing Partnerships: Encourage local employers, especially growing firms and institutions, to form partnerships that offer rental blocks, down-payment assistance, or guaranteed leases for young workers.",Systemic Exclusion and Weak Sense of Belonging,"15933 Central Avenue, Inverness, NS B0E 1N0",,info@cabotcapebreton.com,46.2354755,-61.301443
The PIER at the Seaport,The PIER,"The PIER is a port-focused innovation hub and living lab at the Halifax Seaport that offers hot desks, collaboration zones, event space, and secure, high-speed connectivity for companies and professionals working in logistics, supply chain, and ocean sectors. By providing modern co-working infrastructure in a repurposed waterfront space and convening industry partners, it attracts remote professionals and startups who want to work from Nova Scotia while tapping into an active cluster.","Limited availability of high-quality, future-ready jobs","Remote Work Hubs and Attraction Programs: Convert underused community spaces into co-working hubs with strong internet and amenities, and run local campaigns to attract remote workers and digital entrepreneurs seeking quality of life.",Systemic Exclusion and Weak Sense of Belonging,"1209 Marginal Road, Halifax, NS B3H 4P8",,,44.6408016,-63.5661452
Acadian Seaplants Limited,Acadian Seaplants Limited,"Acadian Seaplants sources seaweeds from Nova Scotia harvesters and transforms them into value-added products for food, agriculture, and personal care markets. The company integrates raw material supply, processing, quality assurance, and global sales, strengthening local supply chains and supporting year-round employment in production, R&D, and logistics.","Limited availability of high-quality, future-ready jobs","Value-Added Local Supply Chains: Coordinate producers, processors, and retailers to develop value-added products (e.g., specialty foods, transformed seafood, artisan goods) that capture more local value and year-round employment.",Systemic Exclusion and Weak Sense of Belonging,"30 Brown Avenue, Dartmouth, NS B3B 1X8",,info@acadianseaplants.com,44.6961994,-63.5956123
Telehealth Connection Space (Rosa M. Harvey Middleton & Area Library),Annapolis Valley Regional Library,"The Middleton library provides a dedicated, private space with reliable broadband, a computer, camera, and headset for community members to attend virtual health and counseling sessions. Staff help users—particularly teens and young adults—book the room, log into VirtualCareNS or other mental health services, and ensure privacy and tech readiness, mirroring a volunteer telehealth access station model.",Health and mental health access gaps,"Volunteer Telehealth Access Stations: Set up private booths in libraries, community centres or youth centres with high-speed internet and staff/volunteer navigators to help youth access telemedicine and virtual mental health appointments.",Systemic Exclusion and Weak Sense of Belonging,"45 Gates Avenue, Middleton, NS B0S 1P0",,askus@valleylibrary.ca,44.9439563,-65.0732341
FedEx Ship Centre – Hold at Location (Halifax/Dartmouth),FedEx Express Canada,"FedEx’s Hold at Location option allows customers to have e‑commerce orders shipped directly to the Dartmouth Ship Centre for secure storage and pickup during extended hours. This acts as a community logistics hub, giving people without stable delivery addresses a dependable pickup window and reducing failed deliveries in areas with address or connectivity challenges.",Transportation and digital connectivity shortfalls,Parcel lockers and community logistics hub: Install secure parcel lockers at central community locations and coordinate local pickup/delivery windows to improve e-commerce access for residents without reliable delivery addresses.,Systemic Exclusion and Weak Sense of Belonging,"7 Cutler Avenue, Dartmouth, NS B3B 0J5",,,44.7237329,-63.5647077
Road to Economic Prosperity (REP) for African Nova Scotians,Halifax Regional Municipality – African Nova Scotian Affairs Integration Office (ANSAIO) and Halifax Partnership,"A community-driven economic development plan co-created by African Nova Scotian leaders, the Halifax Regional Municipality, and the Halifax Partnership. It sets measurable targets on employment, entrepreneurship, education pathways, and land/housing and publishes public progress reports overseen by an implementation table of African Nova Scotian representatives—functioning as a community accountability dashboard that tracks and reports outcomes over time.",Systemic inequities and discrimination,"Community-led data and accountability dashboard: Collect and publish disaggregated, community-run data on employment, education, housing, and service access, with community targets and regular public progress reports co-managed with representatives of affected groups.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",,ansaio@halifax.ca,44.648927,-63.5753248
Extended Day Program (Before and After School),Sacred Heart School of Halifax,"Sacred Heart School of Halifax operates an Extended Day program within its elementary school facilities, offering supervised care before classes and into the early evening after dismissal. Led by school staff, the program includes homework support, structured play, and snacks, providing predictable, affordable wraparound care for families. This uses existing school spaces to extend the day and meet childcare gaps for school-aged children.",Childcare scarcity and family support gaps,"School-Based Before/After Care Programs: Extend community-run programming in school facilities to provide affordable supervised care for school-aged children before and after classes, coordinated by parent volunteers and local educators.",Systemic Exclusion and Weak Sense of Belonging,"5820 Spring Garden Road, Halifax, NS B3H 1X8",,info@shsh.ca,44.6410786,-63.582204
Net Zero Atlantic,Net Zero Atlantic,"Net Zero Atlantic convenes industry, government, academia, and community stakeholders to define Atlantic Canada’s clean energy research priorities (e.g., offshore wind, grid decarbonization, marine renewables). It administers competitive, multi-partner research calls and feasibility studies that require partner co-funding, pooling provincial and industry dollars to leverage larger federal and private investments and attract external research funding into Nova Scotia.",Post-secondary sustainability and research capacity limits,"Community research priorities and funding pools: Local stakeholders identify priority research topics (e.g., ocean tech, clean energy, fisheries) and contribute to matching funds or prize grants that attract external research dollars.",Systemic Exclusion and Weak Sense of Belonging,"5151 George Street, Suite 940, Halifax, NS B3J 1M5",,info@netzeroatlantic.ca,44.6488945,-63.5731744
The PIER at the Seaport,Halifax Port Authority,"The PIER is a port innovation living lab operated by the Halifax Port Authority that offers shared testbeds, data platforms, and workspace for logistics, ocean tech, and supply-chain collaborators. Municipal partners, universities, and private companies pilot and evaluate technologies with access to port operations and shared infrastructure, reducing the need for each partner to build separate labs and increasing collective research capacity.",Post-secondary sustainability and research capacity limits,"Shared facilities consortium: Multiple institutions, municipalities, and businesses coordinate shared access to expensive equipment and labs to increase research capacity without duplicative costs.",Systemic Exclusion and Weak Sense of Belonging,"1209 Marginal Road, Halifax, NS B3H 4P8",,info@portofhalifax.ca,44.6408016,-63.5661452
