Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Outsourced and Virtual CFO Services,MNP LLP,"MNP provides fractional CFO and controller services to small and mid-sized businesses, assigning senior finance leaders on a part-time basis so multiple firms can access executive-level financial strategy and oversight without hiring full-time. This directly implements the fractional executive pool model by deploying experienced CFOs across several clients concurrently, while creating pathways for mid-career finance professionals to build executive experience in diverse industries.",Limited Mid-Career Progression and Firm Scale,"Fractional Executive Pool: Organize a cooperative of part-time CFOs, CTOs, CMOs and HR leads available to multiple small businesses so firms can access senior skills at affordable rates while creating pathways for mid-career managers to gain executive experience.",Fragmented Policy and Governance Architecture,"1505 Barrington Street, Suite 1200, Halifax, NS B3J 3K5",,,44.6445647,-63.5723991
Halifax Anchor Collaborative,Halifax Partnership,"Led by Halifax Partnership, this collaborative brings together major local anchors (HRM, Nova Scotia Health, post-secondary institutions, the Port of Halifax, and others) to align procurement practices that grow local supplier participation and scale SMEs. The group facilitates vendor outreach, joint problem statements, and partnership requirements in bids, fostering capacity-building and R&D collaboration pathways that create higher-skill roles and retain talent.",Limited Mid-Career Progression and Firm Scale,Municipal Procurement for Growth: Advocate for local governments and anchor institutions to structure procurement that favors scaling local SMEs and requires partnerships or capacity-building plans that create senior roles and R&D collaborations.,Fragmented Policy and Governance Architecture,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
SmartBusiness Program,Halifax Partnership,"Halifax Partnership’s SmartBusiness program is a business retention and expansion (BRE) service that proactively engages established firms to identify growth barriers and connect them to export development, financing, R&D, and market opportunities. Working closely with partners like the Connector Program and post-secondary institutions, it brokers talent matches for hard-to-fill mid-career roles and opens doors to new customers and investors. By helping existing companies scale in-place, the ...",Limited Mid-Career Progression and Firm Scale,"Community-Owned Scale-Up Accelerator: Launch a locally governed accelerator focused on scaling existing firms (not just startups) offering business development, market access, talent matching, and investor introductions tailored to mid-career role creation.",Fragmented Policy and Governance Architecture,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
BioPort Atlantic – BioInnovation Challenge (Investor Showcase),BioNova (Nova Scotia Life Sciences Industry Association),"BioPort Atlantic, produced by BioNova, hosts the BioInnovation Challenge and investor showcase where life sciences startups pitch to panels of angels and VCs. The event intentionally aggregates regional investors to enable co-investment syndicates and provides standardized pitch materials and feedback that reduce fundraising friction and costs for founders. By curating deal flow and coordinating investor participation, it helps de-risk early checks for individual angels.",Entrepreneurship Barriers and Access to Capital,"Local Angel Network and Syndicate: A community-run angel group that aggregates local investors to co-invest in promising startups, runs regular pitch nights, and syndicates investments so individual risk is lower and transaction costs are reduced for entrepreneurs.",Fragmented Policy and Governance Architecture,"1344 Summer Street, Halifax, NS B3H 0A8",,info@bionova.ca,44.6397624,-63.5829145
Eastlink Wireless Home Internet (Rural Nova Scotia),Eastlink (Bragg Communications Incorporated),"Eastlink deploys fixed wireless internet across rural Nova Scotia using a network of towers and rooftop or mast-mounted customer equipment to deliver broadband to clusters of homes where fibre is not yet available. By leveraging tall buildings, existing towers, and new rural sites, the service creates reliable last-mile links that support remote work, learning, and small business operations in underserved communities.",Digital Infrastructure Inequities,Community Mesh and Fixed Wireless Networks: Deploy low-cost mesh or community-managed fixed wireless links (on towers or tall buildings) to connect clusters of homes and businesses where wired fibre is not yet available.,Fragmented Policy and Governance Architecture,"6080 Young Street, Halifax, NS B3K 5M3",,,44.658357,-63.6032774
Tech Help (One-on-One Technology Support),Annapolis Valley Regional Library,"Annapolis Valley Regional Library runs one-on-one technology help and beginner workshops at branches like the Wolfville Memorial Library, covering smartphones, tablets, email, video calls, and cloud-based tools. Sessions emphasize practical digital skills and online safety, helping residents adopt remote work platforms and confidently access government, education, and health services online.",Digital Infrastructure Inequities,"Digital Literacy and Support Programs: Offer workshops, drop-in clinics and peer mentoring on digital skills, device setup, cybersecurity and remote work tools at libraries, schools and community centres.",Fragmented Policy and Governance Architecture,"21 Elm Avenue, Wolfville, NS B4P 1Z9",,askus@valleylibrary.ca,45.0927479,-64.3639165
Work in Halifax (Jobs & Labour Market Dashboard),Halifax Partnership,"Halifax Partnership maintains Work in Halifax, a community-facing portal that aggregates real-time local job postings across sectors and links to employer demand, in-demand occupations, and immigration pathways. Through its broader Halifax Index and labour market dashboards, the Partnership publishes up-to-date workforce indicators and skills insights, and promotes training, co-op, and apprenticeship opportunities via partner events so educators and learners can target learning to local demand.",Skills Alignment and Work-Integrated Learning Gaps,"Local Labour Market & Skills Dashboard: Maintain a simple community dashboard (managed by municipality or chamber) showing real‑time local openings, skill gaps, apprenticeship opportunities and training calendar so educators and learners can target learning to demand.",Fragmented Policy and Governance Architecture,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Immigration Employer Support – Inclusive Hiring Resources,Halifax Partnership,"Halifax Partnership provides employers with step-by-step resources to recruit and retain diverse talent, including newcomers and international students, through inclusive hiring guides and toolkits. Materials feature sample inclusive job postings, interview and assessment accommodations, bias-reduction checklists, and onboarding best practices tailored for small and medium-sized businesses in the Halifax region.","Inclusion, Anti-Racism, and Reconciliation Gaps","Inclusive Hiring Toolkit for Local Employers: Develop and distribute a practical toolkit with inclusive job posting templates, accessible interview practices, bias-reduction checklists, and onboarding guidance tailored to small and medium local employers.",Fragmented Policy and Governance Architecture,"1809 Barrington Street, Suite 1103, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
CanadianNanny.ca – Nanny Share & Caregiver Marketplace,CareGuide Inc.,"CanadianNanny.ca is an online platform that allows Nova Scotia families to find and share vetted caregivers, explicitly supporting nanny-share arrangements where two or more households split a caregiver’s time and costs. Parents in Halifax, Cape Breton, and rural communities can post nanny-share jobs and filter caregivers by non-standard availability (evenings, weekends, overnights) to cover staggered shifts, then use in-platform messaging to coordinate schedules and logistics.",Childcare Availability and Early Learning Workforce,Shared Nanny and Care Pool: Neighborhood-based shared-nanny arrangements and parent-run scheduling platforms let families share vetted caregivers for staggered hours and non-standard shifts.,Fragmented Policy and Governance Architecture,"20 Leslie Street, Suite 203, Toronto, ON M4M 3L4",,support@canadiannanny.ca,43.6593241,-79.3286771
Ward 5 Neighbourhood Centre Early Learning & After School Programs,Ward 5 Neighbourhood Centre,"Ward 5 operates licensed early learning and school-age programs from converted rooms within St. Mark’s Anglican Church in Halifax’s North End, turning underused parish and community hall space into childcare classrooms. The centre’s community board works with the church and local partners to share governance of the space, expanding access to affordable care in a walkable neighbourhood.",Childcare Availability and Early Learning Workforce,"Childcare Space Conversion Initiative: Community-led projects to convert underused municipal and commercial spaces—libraries, churches, empty storefronts—into licensed childcare rooms with shared governance.",Fragmented Policy and Governance Architecture,"5540 Russell Street, Halifax, NS B3K 1X2",,,44.6607991,-63.5977445
